time,inst,cpy cycles,misses,pages,switches,bus,pref
122,7,3,3222,0,0,0,176
122,7,3,2950,0,0,0,167
122,7,2,2399,0,0,0,175
122,7,2,2136,0,0,0,147
121,7,2,2281,0,0,0,154
121,7,2,2268,0,0,0,159
121,7,3,3226,0,0,0,156
121,7,2,2324,0,0,0,156
121,7,2,2442,0,0,0,171
120,7,2,2312,0,0,0,165
120,7,2,2298,0,0,0,156
119,7,3,2947,0,0,0,180
119,7,2,2269,0,0,0,158
119,7,2,2529,0,0,0,237
119,7,2,2285,0,0,0,152
119,7,2,2300,0,0,0,149
119,7,2,2208,0,0,0,174
119,7,2,2338,0,0,0,164
119,7,2,2302,0,0,0,170
119,7,2,2317,0,0,0,154
119,7,2,2189,0,0,0,174
118,7,2,2269,0,0,0,144
118,7,2,2303,0,0,0,170
118,7,2,2353,0,0,0,159
118,7,2,2317,0,0,0,166
118,7,2,2271,0,0,0,167
117,7,2,2295,0,0,0,167
117,7,2,2349,0,0,0,154
117,7,3,2345,0,0,0,162
117,7,2,2292,0,0,0,155
117,7,2,2265,0,0,0,154
117,7,2,2310,0,0,0,158
117,7,2,2154,0,0,0,156
117,7,2,2334,0,0,0,170
117,7,2,2285,0,0,0,161
116,7,2,2389,0,0,0,160
116,7,3,3109,0,0,0,180
116,7,2,2502,0,0,0,177
116,7,2,2255,0,0,0,172
116,7,2,2564,0,0,0,176
116,7,2,2265,0,0,0,159
116,7,2,2282,0,0,0,163
116,7,2,2281,0,0,0,156
116,7,2,2256,0,0,0,150
116,7,2,2322,0,0,0,166
115,7,2,2344,0,0,0,165
115,7,3,3231,0,0,0,169
115,7,2,2284,0,0,0,164
115,7,2,2256,0,0,0,155
115,7,2,2485,0,0,0,176
114,7,2,2292,0,0,0,147
114,7,2,2248,0,0,0,140
114,7,3,2723,0,0,0,239
114,7,2,2318,0,0,0,155
113,7,2,2260,0,0,0,155
113,7,2,2236,0,0,0,167
113,7,2,2224,0,0,0,142
113,7,2,2282,0,0,0,161
113,7,2,2279,0,0,0,160
113,7,2,2312,0,0,0,167
113,7,2,2280,0,0,0,159
113,7,2,2287,0,0,0,158
113,7,2,2281,0,0,0,147
112,7,2,2302,0,0,0,147
112,7,2,2213,0,0,0,154
112,7,2,2091,0,0,0,140
112,7,2,2241,0,0,0,147
112,7,2,2287,0,0,0,163
112,7,2,2309,0,0,0,158
112,7,2,2268,0,0,0,148
112,7,2,2235,0,0,0,168
112,7,2,2285,0,0,0,151
112,7,2,2229,0,0,0,148
112,7,2,2234,0,0,0,157
112,7,2,2396,0,0,0,173
112,7,2,2279,0,0,0,152
112,7,2,2275,0,0,0,157
112,7,2,2267,0,0,0,160
111,7,2,2579,0,0,0,162
