metric 0,g0,g0,metric 1,100.0
metric 0,g0,g1,metric 1,0.0
metric 0,g1,g0,metric 1,0.0
metric 0,g1,g1,metric 1,100.0
metric 0,g0,g0,metric 2,0.0
metric 0,g0,g1,metric 2,100.0
metric 0,g1,g0,metric 2,100.0
metric 0,g1,g1,metric 2,0.0
metric 1,g0,g0,metric 0,100.0
metric 1,g0,g1,metric 0,0.0
metric 1,g1,g0,metric 0,0.0
metric 1,g1,g1,metric 0,100.0
metric 1,g0,g0,metric 2,0.0
metric 1,g0,g1,metric 2,100.0
metric 1,g1,g0,metric 2,100.0
metric 1,g1,g1,metric 2,0.0
metric 2,g0,g0,metric 0,0.0
metric 2,g0,g1,metric 0,100.0
metric 2,g1,g0,metric 0,100.0
metric 2,g1,g1,metric 0,0.0
metric 2,g0,g0,metric 1,0.0
metric 2,g0,g1,metric 1,100.0
metric 2,g1,g0,metric 1,100.0
metric 2,g1,g1,metric 1,0.0
